patcnty1,dsch_yr,mdc,mdc_desc,Discharges,AnnotationCode,AnnotationDesc
Alameda,2012,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7792,,
Alameda,2012,2,"EYE, DISEASES & DISORDERS",195,,
Alameda,2012,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1413,,
Alameda,2012,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",11569,,
Alameda,2012,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",15745,,
Alameda,2012,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",11962,,
Alameda,2012,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",4184,,
Alameda,2012,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11313,,
Alameda,2012,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3524,,
Alameda,2012,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",4094,,
Alameda,2012,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",5545,,
Alameda,2012,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",543,,
Alameda,2012,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",2051,,
Alameda,2012,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20868,,
Alameda,2012,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,20290,,
Alameda,2012,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1822,,
Alameda,2012,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1186,,
Alameda,2012,18,INFECTIOUS & PARASITIC DISEASES,7690,,
Alameda,2012,19,MENTAL DISEASES & DISORDERS,7034,,
Alameda,2012,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1164,,
Alameda,2012,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",2010,,
Alameda,2012,22,BURNS,102,,
Alameda,2012,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2766,,
Alameda,2012,24,MULTIPLE SIGNFICANT TRAUMA,317,,
Alameda,2012,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,268,,
Alameda,2013,0,UNGROUPABLE,1,,
Alameda,2013,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7606,,
Alameda,2013,2,"EYE, DISEASES & DISORDERS",223,,
Alameda,2013,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1430,,
Alameda,2013,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",10880,,
Alameda,2013,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",14709,,
Alameda,2013,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",11019,,
Alameda,2013,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3786,,
Alameda,2013,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",10634,,
Alameda,2013,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3239,,
Alameda,2013,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3961,,
Alameda,2013,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",5083,,
Alameda,2013,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",528,,
Alameda,2013,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1734,,
Alameda,2013,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20413,,
Alameda,2013,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,19849,,
Alameda,2013,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1670,,
Alameda,2013,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1173,,
Alameda,2013,18,INFECTIOUS & PARASITIC DISEASES,8306,,
Alameda,2013,19,MENTAL DISEASES & DISORDERS,7022,,
Alameda,2013,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1167,,
Alameda,2013,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1820,,
Alameda,2013,22,BURNS,83,,
Alameda,2013,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2833,,
Alameda,2013,24,MULTIPLE SIGNFICANT TRAUMA,324,,
Alameda,2013,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,267,,
Alameda,2014,0,UNGROUPABLE,4,,
Alameda,2014,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7521,,
Alameda,2014,2,"EYE, DISEASES & DISORDERS",183,,
Alameda,2014,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1283,,
Alameda,2014,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",10397,,
Alameda,2014,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13211,,
Alameda,2014,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",10655,,
Alameda,2014,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3737,,
Alameda,2014,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",10771,,
Alameda,2014,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3084,,
Alameda,2014,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3783,,
Alameda,2014,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4816,,
Alameda,2014,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",427,,
Alameda,2014,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1554,,
Alameda,2014,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20676,,
Alameda,2014,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,20046,,
Alameda,2014,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1678,,
Alameda,2014,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1301,,
Alameda,2014,18,INFECTIOUS & PARASITIC DISEASES,8790,,
Alameda,2014,19,MENTAL DISEASES & DISORDERS,7201,,
